reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
b5112030-80d6-4d14-b620-48b3abd4e9ad,Karlina Lina,https://play-lh.googleusercontent.com/a/ACg8ocJ4_G9Uv_4FInNFJojTRTvpvLOvmNWoaAlRGkmRnDxKZTmlQoQ=mo,kode otp nya ko tidak dikasih trus ya..,2,0,,2025-09-02 06:39:30,,,
5d58f702-f041-4c66-b074-b2ca4df48103,Melsa Rsnda,https://play-lh.googleusercontent.com/a/ACg8ocJpHgb70s9WVyjImrW2MQswWyT0E4J_d_LHkFYQFhz1VxEV0A=mo,sumpah supir jaklingko ga ada yang ramahh,1,0,1.6.14,2025-08-27 02:29:44,"Halo kak Melsa Rsnda terima kasih telah menggunakan Aplikasi JakLingko dan mohon maaf atas ketidaknyamanannya. Untuk membantu kami memahami kendala yang Anda alami, Anda dapat menghubungi kami JakLingko Customer Care pada: Call center : 021-30200111 WhatsApp : 081260001440 Facebook : Jaklingko Instagram : @aplikasi.jaklingko",2025-08-28 12:52:31,1.6.14
c082f2ea-37a7-4fd9-95a7-532c2b392aaa,Hotnida Novita Sary,https://play-lh.googleusercontent.com/a-/ALV-UjVacTcjZDDrQFq05DFrVEQIi8q5p86TFJa0J10NZ6sYZTBCs9_wIQ,"beli tiket mrt. dana kepotong, tiket barcode tidak keluar. sudah berapa kali kejadian. apps error. worst!",1,0,1.6.14,2025-08-25 10:36:45,"Halo kak Hotnida Novita Sary terima kasih telah menggunakan Aplikasi JakLingko dan mohon maaf atas ketidaknyamanannya. Untuk membantu kami memahami kendala yang Anda alami, Anda dapat menghubungi kami JakLingko Customer Care pada: Call center : 021-30200111 WhatsApp : 081260001440 Facebook : Jaklingko Instagram : @aplikasi.jaklingko",2025-08-28 12:53:25,1.6.14
a2dd5a26-afb1-4b7a-97cb-d20d677af2ab,Rizqullah Ramadhan,https://play-lh.googleusercontent.com/a-/ALV-UjXt6AhJYFjewRFZmTz84kXX2BmSvQR5oZq_0AI7n2SgOnwnSg8y,jk 41 jangan pada malas napa kerja woi setengah jam nunggu gk ada yg lewat,1,0,1.6.13,2025-08-25 00:05:22,"Halo kak Rizqullah Ramadhan terima kasih telah menggunakan Aplikasi JakLingko dan mohon maaf atas ketidaknyamanannya. Untuk membantu kami memahami kendala yang Anda alami, Anda dapat menghubungi kami JakLingko Customer Care pada: Call center : 021-30200111 WhatsApp : 081260001440 Facebook : Jaklingko Instagram : @aplikasi.jaklingko",2025-08-28 12:54:03,1.6.13
93762f50-162a-4034-9b15-f47164ad9f5b,Hollawlaa Lilaa,https://play-lh.googleusercontent.com/a/ACg8ocI4XCmmipCxWRsE6GDK_1QZetxseB6NuAuEbM8o4WJDiNeIlA=mo,"gak kartu, gak aplikasi sama sama perlu di upgrade",1,0,,2025-08-24 10:13:57,"Halo kak Hollawlaa Lilaa terima kasih telah menggunakan Aplikasi JakLingko dan mohon maaf atas ketidaknyamanannya. Untuk membantu kami memahami kendala yang Anda alami, Anda dapat menghubungi kami JakLingko Customer Care pada: Call center : 021-30200111 WhatsApp : 081260001440 Facebook : Jaklingko Instagram : @aplikasi.jaklingko",2025-08-28 12:54:30,
17d78226-c05e-4e3d-b669-4486f15e4cc5,Fahmi Achmad Faisal,https://play-lh.googleusercontent.com/a-/ALV-UjUEYTyPYv1R0TnkfAJxoj9gwzc5XsCIt-aWgGqBfm6_vy5wWyc7,"sistem nya tolong di update min, lebih baik QR nya di permudah seperti c access punya KAI",5,0,1.6.14,2025-08-19 15:22:42,,,1.6.14
635455ed-2037-43fe-b75c-8578bd4c258e,aufa andhika,https://play-lh.googleusercontent.com/a-/ALV-UjVBt36dwvJzh3amqteSfezN8YCvF6QkTLsONhRHQkQ0fMLHq7JF,bjir tbtb keinstal sendiri,1,0,1.6.14,2025-08-15 12:13:39,"Halo kak aufa andhika terima kasih telah menggunakan Aplikasi JakLingko dan mohon maaf atas ketidaknyamanannya. Untuk membantu kami memahami kendala yang Anda alami, Anda dapat menghubungi kami JakLingko Customer Care pada: Call center : 021-30200111 WhatsApp : 081260001440 Facebook : Jaklingko Instagram : @aplikasi.jaklingko",2025-08-19 12:58:40,1.6.14
1a35cd6a-aa4f-4593-beba-06f75523064c,Agus Mulyono,https://play-lh.googleusercontent.com/a-/ALV-UjXMoEeSZdDgzq3oe_jQKUBYfKKHKMLx76xfYRsNke-H-jtpYBBo,waaaooo keren abis aplikasinya sangat membantu untuk pengecekan saldo wisata ragunan the best pokoknya,5,3,1.6.14,2025-08-13 07:54:11,,,1.6.14
79fc28ee-f857-43b3-b219-c547d4a88f94,Erri Subhakti,https://play-lh.googleusercontent.com/a-/ALV-UjVun4mASAscL1m6gmtX7cLCI6bWMoLR1sWbmksS0V2QfckHnC4t,"Aplikasi banyak errornya! aplikasi scammer mencuri uang2 pengguna. uang yg sudah keluar utk beli tiket, tiketnya gak muncul. uangnya gak diganti. dan sering terjadi. tidak disarankan utk install app ini",1,0,1.6.10,2025-08-13 02:05:08,"Halo kak Erri Subakti, terima kasih telah menggunakan Aplikasi JakLingko dan mohon maaf atas ketidaknyamanannya. Untuk membantu kami memahami kendala yang Anda alami, Anda dapat menghubungi kami JakLingko Customer Care pada: Call center : 021-30200111 WhatsApp : 081260001440 Facebook : Jaklingko Instagram : @aplikasi.jaklingko",2025-02-25 06:27:55,1.6.10
915b8597-b6db-4acb-aa73-d206b68a65e4,Su Trisno,https://play-lh.googleusercontent.com/a-/ALV-UjU7hYyI5aBGfFMKkHsXGCa1wFmvRuKDMbC-QNgQRZGFw-Az8cq9,sangat membantu,5,0,,2025-08-12 09:56:32,,,
